		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	ITT - Income	ITT - Employed	LATE - Income	LATE - Employed	ITT - Income With Basline	ITT - Employement With Basline	LATE - Income With Basline	LATE - Employemnt With Basline	ITT Gender Heterogenety- Income	ITT Gender Heterogenety- Employment	LATE Gender Heterogenety - Income	LATE Gender Heterogenety - Employment
													
treatment	treatment	87.25	-0.0135			163.5	-0.00612			103.2	-0.000524		
		(218.5)	(0.0328)			(226.1)	(0.0347)			(122.8)	(0.0387)		
youth_age	Youth age (years)					47.73**	0.0104***	166.1	0.00594	47.42**	0.0104***	166.1	0.00905
						(18.26)	(0.00334)	(421.3)	(0.0295)	(18.28)	(0.00338)	(421.3)	(0.00833)
youth_male	Youth is male (1=yes)					1,255***	0.182***	2,343	0.142	1,194***	0.188***	2,343	0.292
						(232.2)	(0.0286)	(3,982)	(0.276)	(239.2)	(0.0450)	(3,982)	(1.048)
youth_married	Youth is married (1=yes)					797.7	0.110*	734.1	0.113	801.6	0.110*	734.1	0.100
						(505.3)	(0.0630)	(913.7)	(0.0758)	(511.9)	(0.0634)	(913.7)	(0.107)
hh_size	Household size					-89.06	-0.000790	27.19	-0.00514	-88.70	-0.000824	27.19	-0.00406
						(64.66)	(0.0121)	(434.2)	(0.0321)	(64.29)	(0.0121)	(434.2)	(0.0205)
land_amount	Land amount (decimal)					-3.130	-0.000484	-4.969	-0.000415	-3.106	-0.000486	-4.969	-0.000494
						(3.744)	(0.000667)	(12.06)	(0.000851)	(3.744)	(0.000670)	(12.06)	(0.000776)
num_cows	Number of cows					-10.21	-0.0178	451.9	-0.0351	-12.17	-0.0176	451.9	-0.0187
						(87.84)	(0.0126)	(1,666)	(0.119)	(89.74)	(0.0127)	(1,666)	(0.0519)
num_goats_sheep	Goats / sheep owned					-68.20	-0.0102	-88.38	-0.00948	-67.16	-0.0103	-88.38	-0.0112
						(81.41)	(0.0115)	(323.7)	(0.0150)	(80.95)	(0.0116)	(323.7)	(0.0169)
monthly_hh_income	Household monthly income (BDT)					0.0157	1.34e-06	0.0205	1.16e-06	0.0159	1.32e-06	0.0205	1.46e-06
						(0.0135)	(2.08e-06)	(0.0379)	(2.48e-06)	(0.0134)	(2.10e-06)	(0.0379)	(2.80e-06)
2.division_code	Division (stratification level) = 2, Chattogram	199.9	0.0346	717.9		167.4	0.0136	1,644	-0.0417	175.5	0.0128	1,644	0.0294
		(429.0)	(0.0689)	(2,064)		(458.6)	(0.0690)	(6,112)	(0.383)	(470.1)	(0.0694)	(6,112)	(0.332)
3.division_code	Division (stratification level) = 3, Dhaka	-42.35	0.00539	427.3		20.83	0.00818	1,317	-0.0403	26.55	0.00765	1,317	0.000351
		(365.5)	(0.0719)	(1,910)		(394.4)	(0.0691)	(5,506)	(0.336)	(404.7)	(0.0690)	(5,506)	(0.150)
4.division_code	Division (stratification level) = 4, Khulna	-137.1	0.0116	-60.61		-4.549	0.0319	221.6	0.0235	4.293	0.0311	221.6	0.0408
		(373.9)	(0.0742)	(1,159)		(393.9)	(0.0746)	(3,169)	(0.146)	(407.2)	(0.0750)	(3,169)	(0.145)
5.division_code	Division (stratification level) = 5, Mymensingh	-380.7	0.0214	50.02		-309.4	0.0304	1,033	-0.0199	-294.9	0.0290	1,033	0.0111
		(410.9)	(0.0748)	(1,876)		(481.7)	(0.0829)	(5,824)	(0.355)	(497.1)	(0.0833)	(5,824)	(0.134)
6.division_code	Division (stratification level) = 6, Rajshahi	-233.0	0.0365	-264.3		-15.96	0.0621	62.51	0.0592	-8.172	0.0614	62.51	0.0566
		(385.1)	(0.0724)	(1,029)		(402.7)	(0.0692)	(2,918)	(0.125)	(416.4)	(0.0692)	(2,918)	(0.0904)
7.division_code	Division (stratification level) = 7, Rangpur	109.1	-0.0632	550.3		135.3	-0.0497	1,176	-0.0886	145.0	-0.0506	1,176	-0.0590
		(659.4)	(0.0732)	(2,117)		(678.3)	(0.0705)	(5,003)	(0.296)	(703.8)	(0.0708)	(5,003)	(0.122)
participant	s3q1. Did you take part in STAR+ programme?			4,281	-0.664			13,470	-0.504			13,470	0.0283
				(13,284)	(2.139)			(48,078)	(3.386)			(48,078)	(1.938)
male_int	male_int									124.8	-0.0116		
										(460.0)	(0.0623)		
parti_male	parti_male												-0.334
													(2.831)
Constant	Constant	841.6**	0.191***	-1,032	0.481	-711.5	-0.147	-10,512	0.220	-684.5	-0.149	-10,512	-0.112
		(362.9)	(0.0648)	(6,180)	(0.965)	(499.2)	(0.0994)	(35,413)	(2.471)	(486.9)	(0.102)	(35,413)	(1.022)
													
Observations		495	495	495	495	495	495	495	495	495	495	495	495
R-squared		0.005	0.006			0.100	0.106			0.100	0.106		0.011
Division FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Baseline covariates										Yes	Yes	Yes	Yes
Baseline Control						Yes	Yes	Yes	Yes				
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
